Shakespeare dataset already prepared.
Starting training...
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 384
Overriding: block_size = 256
Overriding: batch_size = 64
Overriding: dropout = 0.2
Overriding: learning_rate = 0.001
Overriding: max_iters = 5000
Overriding: out_dir = out-shakespeare-char
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 240: loss 2.0854, time 6.95ms, mfu 53.71%
step 250: train loss 1.9638, val loss 2.0772
saving checkpoint to out-shakespeare-char
iter 250: loss 2.0380, time 1935.19ms, mfu 48.36%
iter 260: loss 1.9777, time 6.99ms, mfu 48.85%
iter 270: loss 1.9672, time 6.94ms, mfu 49.34%
iter 280: loss 1.9728, time 6.92ms, mfu 49.79%
iter 290: loss 1.9185, time 6.90ms, mfu 50.21%
iter 300: loss 1.9005, time 7.01ms, mfu 50.51%
iter 310: loss 1.8706, time 6.90ms, mfu 50.86%
iter 320: loss 1.8431, time 6.97ms, mfu 51.12%
iter 330: loss 1.8224, time 6.90ms, mfu 51.40%
iter 340: loss 1.8013, time 6.90ms, mfu 51.66%
iter 350: loss 1.8310, time 6.96ms, mfu 51.85%
iter 360: loss 1.7678, time 7.00ms, mfu 51.99%
iter 370: loss 1.7459, time 6.76ms, mfu 52.31%
iter 380: loss 1.7212, time 6.84ms, mfu 52.52%
iter 390: loss 1.7348, time 6.84ms, mfu 52.71%
iter 400: loss 1.7646, time 6.84ms, mfu 52.89%
iter 410: loss 1.7002, time 6.89ms, mfu 53.01%
iter 420: loss 1.7067, time 6.83ms, mfu 53.17%
iter 430: loss 1.6882, time 6.85ms, mfu 53.29%
iter 440: loss 1.6547, time 6.84ms, mfu 53.41%
iter 450: loss 1.6441, time 6.83ms, mfu 53.52%
iter 460: loss 1.5945, time 6.90ms, mfu 53.57%
iter 470: loss 1.6538, time 6.87ms, mfu 53.63%
iter 480: loss 1.6193, time 6.83ms, mfu 53.73%
iter 490: loss 1.5943, time 6.84ms, mfu 53.80%
step 500: train loss 1.5264, val loss 1.7286
saving checkpoint to out-shakespeare-char
iter 500: loss 1.6050, time 1911.01ms, mfu 48.44%
iter 510: loss 1.6048, time 6.82ms, mfu 49.06%
iter 520: loss 1.5902, time 6.87ms, mfu 49.58%
iter 530: loss 1.5630, time 6.86ms, mfu 50.06%
iter 540: loss 1.6091, time 6.86ms, mfu 50.48%
iter 550: loss 1.5615, time 6.85ms, mfu 50.87%
iter 560: loss 1.5616, time 6.83ms, mfu 51.24%
iter 570: loss 1.5639, time 6.87ms, mfu 51.54%
iter 580: loss 1.5258, time 6.94ms, mfu 51.75%
iter 590: loss 1.4958, time 6.91ms, mfu 51.97%
iter 600: loss 1.5115, time 6.93ms, mfu 52.15%
iter 610: loss 1.5403, time 6.91ms, mfu 52.32%
iter 620: loss 1.5314, time 6.84ms, mfu 52.54%
iter 630: loss 1.5054, time 6.86ms, mfu 52.72%
iter 640: loss 1.4652, time 6.94ms, mfu 52.81%
iter 650: loss 1.4994, time 6.87ms, mfu 52.96%
iter 660: loss 1.5039, time 6.84ms, mfu 53.11%
iter 670: loss 1.4473, time 6.87ms, mfu 53.22%
iter 680: loss 1.5031, time 6.84ms, mfu 53.35%
iter 690: loss 1.4533, time 6.90ms, mfu 53.41%
iter 700: loss 1.4848, time 6.88ms, mfu 53.49%
iter 710: loss 1.4592, time 6.84ms, mfu 53.58%
iter 720: loss 1.4386, time 6.84ms, mfu 53.67%
iter 730: loss 1.4187, time 6.83ms, mfu 53.76%
iter 740: loss 1.4295, time 6.87ms, mfu 53.81%
step 750: train loss 1.3612, val loss 1.5871
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4215, time 1921.57ms, mfu 48.45%
iter 760: loss 1.4399, time 6.88ms, mfu 49.02%
iter 770: loss 1.4227, time 6.85ms, mfu 49.56%
iter 780: loss 1.4187, time 6.90ms, mfu 50.00%
iter 790: loss 1.4129, time 6.93ms, mfu 50.37%
iter 800: loss 1.4269, time 6.92ms, mfu 50.72%
iter 810: loss 1.4098, time 6.97ms, mfu 51.00%
iter 820: loss 1.4050, time 6.95ms, mfu 51.26%
iter 830: loss 1.3911, time 6.92ms, mfu 51.52%
iter 840: loss 1.4004, time 6.87ms, mfu 51.79%
iter 850: loss 1.3907, time 6.95ms, mfu 51.97%
iter 860: loss 1.3892, time 6.92ms, mfu 52.16%
iter 870: loss 1.3943, time 6.94ms, mfu 52.31%
iter 880: loss 1.3723, time 6.92ms, mfu 52.46%
iter 890: loss 1.3854, time 6.91ms, mfu 52.61%
iter 900: loss 1.3725, time 6.90ms, mfu 52.75%
iter 910: loss 1.3201, time 6.90ms, mfu 52.87%
iter 920: loss 1.3639, time 6.79ms, mfu 53.07%
iter 930: loss 1.3663, time 6.84ms, mfu 53.21%
iter 940: loss 1.3427, time 6.93ms, mfu 53.27%
iter 950: loss 1.3548, time 6.92ms, mfu 53.32%
iter 960: loss 1.3628, time 6.89ms, mfu 53.40%
iter 970: loss 1.3612, time 6.94ms, mfu 53.42%
iter 980: loss 1.3498, time 6.83ms, mfu 53.54%
iter 990: loss 1.3363, time 6.88ms, mfu 53.60%
step 1000: train loss 1.2695, val loss 1.5216
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3322, time 1915.59ms, mfu 48.26%
iter 1010: loss 1.3282, time 6.91ms, mfu 48.82%
iter 1020: loss 1.3138, time 6.90ms, mfu 49.33%
iter 1030: loss 1.3287, time 6.84ms, mfu 49.85%
iter 1040: loss 1.3702, time 6.96ms, mfu 50.22%
iter 1050: loss 1.2899, time 6.85ms, mfu 50.64%
iter 1060: loss 1.3328, time 7.38ms, mfu 50.62%
iter 1070: loss 1.3280, time 6.86ms, mfu 50.99%
iter 1080: loss 1.3367, time 6.87ms, mfu 51.31%
iter 1090: loss 1.3481, time 6.84ms, mfu 51.63%
iter 1100: loss 1.3122, time 6.80ms, mfu 51.94%
iter 1110: loss 1.3013, time 6.84ms, mfu 52.20%
iter 1120: loss 1.2961, time 6.76ms, mfu 52.49%
iter 1130: loss 1.2925, time 6.83ms, mfu 52.70%
iter 1140: loss 1.3006, time 6.89ms, mfu 52.84%
iter 1150: loss 1.3103, time 6.82ms, mfu 53.02%
iter 1160: loss 1.3266, time 6.83ms, mfu 53.18%
iter 1170: loss 1.2931, time 6.89ms, mfu 53.27%
iter 1180: loss 1.3123, time 6.78ms, mfu 53.44%
iter 1190: loss 1.2685, time 6.80ms, mfu 53.57%
iter 1200: loss 1.2939, time 6.86ms, mfu 53.65%
iter 1210: loss 1.2649, time 6.81ms, mfu 53.76%
iter 1220: loss 1.3131, time 6.79ms, mfu 53.87%
iter 1230: loss 1.2959, time 6.91ms, mfu 53.87%
iter 1240: loss 1.3056, time 6.82ms, mfu 53.95%
step 1250: train loss 1.2019, val loss 1.4915
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.2680, time 1906.86ms, mfu 48.57%
iter 1260: loss 1.2789, time 6.84ms, mfu 49.16%
iter 1270: loss 1.2590, time 6.87ms, mfu 49.67%
iter 1280: loss 1.2568, time 6.82ms, mfu 50.17%
iter 1290: loss 1.2816, time 6.82ms, mfu 50.61%
iter 1300: loss 1.2981, time 6.77ms, mfu 51.05%
iter 1310: loss 1.2398, time 6.85ms, mfu 51.39%
iter 1320: loss 1.2972, time 6.80ms, mfu 51.73%
iter 1330: loss 1.2646, time 6.79ms, mfu 52.05%
iter 1340: loss 1.2926, time 6.77ms, mfu 52.35%
iter 1350: loss 1.2560, time 6.87ms, mfu 52.54%
iter 1360: loss 1.2723, time 6.85ms, mfu 52.72%
iter 1370: loss 1.2487, time 6.82ms, mfu 52.92%
iter 1380: loss 1.2598, time 6.86ms, mfu 53.06%
iter 1390: loss 1.2458, time 6.84ms, mfu 53.20%
iter 1400: loss 1.2599, time 6.93ms, mfu 53.26%
iter 1410: loss 1.2467, time 6.92ms, mfu 53.32%
iter 1420: loss 1.2684, time 6.89ms, mfu 53.39%
iter 1430: loss 1.2422, time 6.91ms, mfu 53.44%
iter 1440: loss 1.2527, time 6.87ms, mfu 53.52%
iter 1450: loss 1.2370, time 6.99ms, mfu 53.50%
iter 1460: loss 1.2353, time 6.88ms, mfu 53.57%
iter 1470: loss 1.2195, time 6.89ms, mfu 53.62%
iter 1480: loss 1.2156, time 6.86ms, mfu 53.69%
iter 1490: loss 1.2365, time 6.87ms, mfu 53.74%
step 1500: train loss 1.1519, val loss 1.4739
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.1786, time 1906.91ms, mfu 48.39%
iter 1510: loss 1.2315, time 6.90ms, mfu 48.95%
iter 1520: loss 1.2299, time 6.91ms, mfu 49.45%
iter 1530: loss 1.2581, time 6.89ms, mfu 49.91%
iter 1540: loss 1.1902, time 7.00ms, mfu 50.25%
iter 1550: loss 1.2214, time 6.90ms, mfu 50.63%
iter 1560: loss 1.2102, time 6.87ms, mfu 50.99%
iter 1570: loss 1.2247, time 6.91ms, mfu 51.29%
iter 1580: loss 1.2059, time 6.89ms, mfu 51.56%
iter 1590: loss 1.1890, time 6.87ms, mfu 51.83%
iter 1600: loss 1.1949, time 6.97ms, mfu 51.99%
iter 1610: loss 1.2342, time 6.96ms, mfu 52.14%
iter 1620: loss 1.1810, time 6.86ms, mfu 52.36%
iter 1630: loss 1.2031, time 6.87ms, mfu 52.55%
iter 1640: loss 1.2000, time 6.96ms, mfu 52.65%
iter 1650: loss 1.1771, time 6.88ms, mfu 52.80%
iter 1660: loss 1.2120, time 6.85ms, mfu 52.96%
iter 1670: loss 1.1970, time 6.91ms, mfu 53.06%
iter 1680: loss 1.2017, time 6.92ms, mfu 53.14%
iter 1690: loss 1.2018, time 6.87ms, mfu 53.25%
iter 1700: loss 1.1818, time 6.88ms, mfu 53.34%
iter 1710: loss 1.1815, time 6.93ms, mfu 53.39%
iter 1720: loss 1.1788, time 6.84ms, mfu 53.49%
iter 1730: loss 1.1975, time 6.86ms, mfu 53.57%
iter 1740: loss 1.1638, time 6.84ms, mfu 53.66%
step 1750: train loss 1.0992, val loss 1.4643
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.1837, time 1902.72ms, mfu 48.32%
iter 1760: loss 1.1850, time 6.92ms, mfu 48.87%
iter 1770: loss 1.2063, time 6.97ms, mfu 49.33%
iter 1780: loss 1.1941, time 7.03ms, mfu 49.70%
iter 1790: loss 1.1867, time 6.84ms, mfu 50.18%
iter 1800: loss 1.1859, time 6.93ms, mfu 50.54%
iter 1810: loss 1.1606, time 6.83ms, mfu 50.94%
iter 1820: loss 1.1600, time 6.82ms, mfu 51.31%
iter 1830: loss 1.1670, time 6.93ms, mfu 51.56%
iter 1840: loss 1.1607, time 6.90ms, mfu 51.80%
iter 1850: loss 1.1549, time 6.87ms, mfu 52.05%
iter 1860: loss 1.1755, time 6.85ms, mfu 52.28%
iter 1870: loss 1.1366, time 6.83ms, mfu 52.51%
iter 1880: loss 1.1756, time 6.91ms, mfu 52.65%
iter 1890: loss 1.1784, time 6.89ms, mfu 52.80%
iter 1900: loss 1.1274, time 6.90ms, mfu 52.92%
iter 1910: loss 1.1610, time 6.81ms, mfu 53.10%
iter 1920: loss 1.1739, time 6.81ms, mfu 53.26%
iter 1930: loss 1.1410, time 6.81ms, mfu 53.40%
iter 1940: loss 1.1218, time 6.95ms, mfu 53.42%
iter 1950: loss 1.1250, time 6.91ms, mfu 53.47%
iter 1960: loss 1.1540, time 6.90ms, mfu 53.52%
iter 1970: loss 1.1542, time 6.92ms, mfu 53.56%
iter 1980: loss 1.1449, time 6.93ms, mfu 53.58%
iter 1990: loss 1.1499, time 6.94ms, mfu 53.59%
step 2000: train loss 1.0561, val loss 1.4730
iter 2000: loss 1.1262, time 1717.67ms, mfu 48.26%
iter 2010: loss 1.1202, time 6.87ms, mfu 48.85%
iter 2020: loss 1.1182, time 6.87ms, mfu 49.39%
iter 2030: loss 1.1539, time 6.85ms, mfu 49.89%
iter 2040: loss 1.1379, time 6.89ms, mfu 50.31%
iter 2050: loss 1.1204, time 6.83ms, mfu 50.74%
iter 2060: loss 1.1001, time 6.86ms, mfu 51.10%
iter 2070: loss 1.1273, time 6.85ms, mfu 51.43%
iter 2080: loss 1.1203, time 7.32ms, mfu 51.38%
iter 2090: loss 1.1310, time 7.03ms, mfu 51.54%
iter 2100: loss 1.1308, time 6.83ms, mfu 51.84%
iter 2110: loss 1.1321, time 6.88ms, mfu 52.07%
iter 2120: loss 1.1261, time 6.86ms, mfu 52.30%
iter 2130: loss 1.1359, time 6.87ms, mfu 52.49%
iter 2140: loss 1.1308, time 6.87ms, mfu 52.67%
iter 2150: loss 1.1165, time 6.89ms, mfu 52.81%
iter 2160: loss 1.1480, time 6.88ms, mfu 52.94%
iter 2170: loss 1.1233, time 6.82ms, mfu 53.11%
iter 2180: loss 1.1058, time 6.83ms, mfu 53.26%
iter 2190: loss 1.1039, time 6.83ms, mfu 53.39%
iter 2200: loss 1.1274, time 6.85ms, mfu 53.49%
iter 2210: loss 1.1051, time 6.82ms, mfu 53.61%
iter 2220: loss 1.1273, time 6.87ms, mfu 53.67%
iter 2230: loss 1.1217, time 6.88ms, mfu 53.72%
iter 2240: loss 1.1233, time 6.91ms, mfu 53.74%
step 2250: train loss 1.0087, val loss 1.4755
iter 2250: loss 1.1045, time 1712.94ms, mfu 48.39%
iter 2260: loss 1.1034, time 7.03ms, mfu 48.85%
iter 2270: loss 1.1180, time 7.09ms, mfu 49.22%
iter 2280: loss 1.0930, time 6.98ms, mfu 49.64%
iter 2290: loss 1.1408, time 6.87ms, mfu 50.10%
iter 2300: loss 1.1216, time 6.82ms, mfu 50.56%
iter 2310: loss 1.0937, time 6.79ms, mfu 50.99%
iter 2320: loss 1.0887, time 6.84ms, mfu 51.34%
iter 2330: loss 1.0926, time 6.87ms, mfu 51.63%
iter 2340: loss 1.1111, time 6.83ms, mfu 51.92%
iter 2350: loss 1.1084, time 6.85ms, mfu 52.17%
iter 2360: loss 1.1079, time 6.89ms, mfu 52.36%
iter 2370: loss 1.0841, time 7.06ms, mfu 52.41%
iter 2380: loss 1.0819, time 6.83ms, mfu 52.62%
iter 2390: loss 1.0783, time 6.84ms, mfu 52.80%
iter 2400: loss 1.0784, time 6.84ms, mfu 52.97%
iter 2410: loss 1.0699, time 6.90ms, mfu 53.08%
iter 2420: loss 1.0745, time 6.87ms, mfu 53.20%
iter 2430: loss 1.0467, time 6.84ms, mfu 53.33%
iter 2440: loss 1.0500, time 6.85ms, mfu 53.43%
iter 2450: loss 1.0669, time 6.86ms, mfu 53.52%
iter 2460: loss 1.0871, time 6.80ms, mfu 53.64%
iter 2470: loss 1.0890, time 6.83ms, mfu 53.73%
iter 2480: loss 1.0871, time 6.85ms, mfu 53.80%
iter 2490: loss 1.0500, time 6.84ms, mfu 53.86%
step 2500: train loss 0.9575, val loss 1.4988
iter 2500: loss 1.0845, time 1712.48ms, mfu 48.50%
iter 2510: loss 1.0672, time 6.91ms, mfu 49.04%
iter 2520: loss 1.0383, time 7.20ms, mfu 49.31%
iter 2530: loss 1.0469, time 6.87ms, mfu 49.80%
iter 2540: loss 1.0480, time 6.83ms, mfu 50.28%
iter 2550: loss 1.0641, time 6.82ms, mfu 50.71%
iter 2560: loss 1.0496, time 6.83ms, mfu 51.09%
iter 2570: loss 1.0739, time 6.87ms, mfu 51.41%
iter 2580: loss 1.0747, time 6.89ms, mfu 51.68%
iter 2590: loss 1.0677, time 6.87ms, mfu 51.94%
iter 2600: loss 1.0616, time 6.88ms, mfu 52.16%
iter 2610: loss 1.0411, time 6.85ms, mfu 52.38%
iter 2620: loss 1.0416, time 6.86ms, mfu 52.58%
iter 2630: loss 1.0201, time 6.87ms, mfu 52.74%
iter 2640: loss 1.0401, time 6.91ms, mfu 52.86%
iter 2650: loss 1.0665, time 6.86ms, mfu 53.01%
iter 2660: loss 1.0337, time 6.84ms, mfu 53.16%
iter 2670: loss 1.0150, time 6.87ms, mfu 53.27%
iter 2680: loss 1.0451, time 6.92ms, mfu 53.33%
iter 2690: loss 1.0551, time 6.85ms, mfu 53.43%
iter 2700: loss 1.0121, time 6.89ms, mfu 53.50%
iter 2710: loss 1.0409, time 6.92ms, mfu 53.53%
iter 2720: loss 1.0440, time 6.89ms, mfu 53.59%
iter 2730: loss 1.0581, time 6.84ms, mfu 53.68%
iter 2740: loss 1.0261, time 6.84ms, mfu 53.76%
step 2750: train loss 0.9112, val loss 1.5242
iter 2750: loss 1.0380, time 1718.06ms, mfu 48.40%
iter 2760: loss 1.0316, time 7.11ms, mfu 48.80%
iter 2770: loss 1.0278, time 6.85ms, mfu 49.36%
iter 2780: loss 1.0262, time 6.89ms, mfu 49.83%
iter 2790: loss 1.0372, time 6.92ms, mfu 50.24%
iter 2800: loss 1.0100, time 6.91ms, mfu 50.61%
iter 2810: loss 1.0355, time 6.94ms, mfu 50.92%
iter 2820: loss 1.0291, time 6.89ms, mfu 51.24%
iter 2830: loss 1.0274, time 6.91ms, mfu 51.51%
iter 2840: loss 0.9942, time 6.96ms, mfu 51.71%
iter 2850: loss 1.0271, time 6.88ms, mfu 51.96%
iter 2860: loss 1.0182, time 7.00ms, mfu 52.09%
iter 2870: loss 0.9936, time 7.01ms, mfu 52.19%
iter 2880: loss 1.0369, time 6.92ms, mfu 52.36%
iter 2890: loss 1.0003, time 6.96ms, mfu 52.48%
iter 2900: loss 0.9882, time 6.92ms, mfu 52.61%
iter 2910: loss 1.0396, time 6.93ms, mfu 52.73%
iter 2920: loss 1.0070, time 7.87ms, mfu 52.19%
iter 2930: loss 0.9886, time 6.95ms, mfu 52.33%
iter 2940: loss 0.9977, time 6.95ms, mfu 52.46%
iter 2950: loss 1.0208, time 6.86ms, mfu 52.64%
iter 2960: loss 1.0041, time 6.89ms, mfu 52.78%
iter 2970: loss 0.9949, time 6.84ms, mfu 52.96%
iter 2980: loss 1.0018, time 6.86ms, mfu 53.09%
iter 2990: loss 0.9912, time 6.84ms, mfu 53.23%
step 3000: train loss 0.8657, val loss 1.5230
iter 3000: loss 0.9850, time 1717.24ms, mfu 47.93%
iter 3010: loss 0.9887, time 6.83ms, mfu 48.59%
iter 3020: loss 1.0087, time 6.86ms, mfu 49.16%
iter 3030: loss 1.0003, time 6.81ms, mfu 49.72%
iter 3040: loss 1.0130, time 6.91ms, mfu 50.14%
iter 3050: loss 0.9739, time 6.91ms, mfu 50.51%
iter 3060: loss 0.9970, time 6.91ms, mfu 50.86%
iter 3070: loss 1.0107, time 6.91ms, mfu 51.16%
iter 3080: loss 0.9859, time 7.02ms, mfu 51.36%
iter 3090: loss 0.9858, time 6.88ms, mfu 51.64%
iter 3100: loss 0.9926, time 6.84ms, mfu 51.92%
iter 3110: loss 0.9731, time 6.90ms, mfu 52.13%
iter 3120: loss 0.9892, time 6.93ms, mfu 52.29%
iter 3130: loss 0.9672, time 6.84ms, mfu 52.51%
iter 3140: loss 0.9795, time 6.89ms, mfu 52.67%
iter 3150: loss 0.9980, time 6.85ms, mfu 52.84%
iter 3160: loss 1.0051, time 6.83ms, mfu 53.02%
iter 3170: loss 0.9504, time 6.90ms, mfu 53.11%
iter 3180: loss 0.9724, time 6.90ms, mfu 53.20%
iter 3190: loss 0.9864, time 6.93ms, mfu 53.25%
iter 3200: loss 0.9605, time 6.86ms, mfu 53.36%
iter 3210: loss 0.9657, time 6.85ms, mfu 53.47%
iter 3220: loss 0.9529, time 6.99ms, mfu 53.45%
iter 3230: loss 0.9554, time 6.89ms, mfu 53.52%
iter 3240: loss 0.9539, time 6.96ms, mfu 53.52%
step 3250: train loss 0.8182, val loss 1.5612
iter 3250: loss 0.9647, time 1728.37ms, mfu 48.19%
iter 3260: loss 0.9592, time 6.83ms, mfu 48.82%
iter 3270: loss 0.9687, time 6.80ms, mfu 49.42%
iter 3280: loss 0.9474, time 6.89ms, mfu 49.89%
iter 3290: loss 0.9452, time 6.82ms, mfu 50.36%
iter 3300: loss 0.9377, time 6.86ms, mfu 50.76%
iter 3310: loss 0.9512, time 7.44ms, mfu 50.69%
iter 3320: loss 0.9666, time 6.86ms, mfu 51.05%
iter 3330: loss 0.9584, time 6.87ms, mfu 51.37%
iter 3340: loss 0.9492, time 6.82ms, mfu 51.70%
iter 3350: loss 0.9552, time 6.82ms, mfu 51.99%
iter 3360: loss 0.9270, time 6.89ms, mfu 52.20%
iter 3370: loss 0.9546, time 6.87ms, mfu 52.41%
iter 3380: loss 0.9481, time 6.82ms, mfu 52.63%
iter 3390: loss 0.9522, time 6.88ms, mfu 52.78%
iter 3400: loss 0.9558, time 6.88ms, mfu 52.92%
iter 3410: loss 0.9523, time 6.86ms, mfu 53.06%
iter 3420: loss 0.9433, time 6.87ms, mfu 53.18%
iter 3430: loss 0.9439, time 6.84ms, mfu 53.31%
iter 3440: loss 0.9745, time 6.85ms, mfu 53.42%
iter 3450: loss 0.9473, time 6.84ms, mfu 53.53%
iter 3460: loss 0.9397, time 6.88ms, mfu 53.59%
iter 3470: loss 0.9365, time 6.88ms, mfu 53.65%
iter 3480: loss 0.9444, time 6.92ms, mfu 53.67%
iter 3490: loss 0.9198, time 6.87ms, mfu 53.72%
step 3500: train loss 0.7780, val loss 1.5758
iter 3500: loss 0.9129, time 1726.97ms, mfu 48.37%
iter 3510: loss 0.9090, time 6.88ms, mfu 48.95%
iter 3520: loss 0.9160, time 6.84ms, mfu 49.50%
iter 3530: loss 0.9489, time 6.81ms, mfu 50.02%
iter 3540: loss 0.9233, time 6.85ms, mfu 50.46%
iter 3550: loss 0.9256, time 6.87ms, mfu 50.84%
iter 3560: loss 0.9467, time 6.87ms, mfu 51.18%
iter 3570: loss 0.9327, time 6.83ms, mfu 51.52%
iter 3580: loss 0.9338, time 6.86ms, mfu 51.80%
iter 3590: loss 0.9234, time 6.85ms, mfu 52.06%
iter 3600: loss 0.9167, time 6.84ms, mfu 52.30%
iter 3610: loss 0.9167, time 6.90ms, mfu 52.47%
iter 3620: loss 0.9131, time 6.87ms, mfu 52.65%
iter 3630: loss 0.9220, time 6.80ms, mfu 52.86%
iter 3640: loss 0.9120, time 6.84ms, mfu 53.02%
iter 3650: loss 0.9121, time 6.81ms, mfu 53.19%
iter 3660: loss 0.9399, time 6.81ms, mfu 53.34%
iter 3670: loss 0.9318, time 6.84ms, mfu 53.46%
iter 3680: loss 0.9045, time 6.82ms, mfu 53.58%
iter 3690: loss 0.9277, time 6.76ms, mfu 53.73%
iter 3700: loss 0.8726, time 6.82ms, mfu 53.82%
iter 3710: loss 0.8835, time 6.79ms, mfu 53.93%
iter 3720: loss 0.9067, time 6.80ms, mfu 54.01%
iter 3730: loss 0.8991, time 6.85ms, mfu 54.05%
iter 3740: loss 0.9021, time 6.82ms, mfu 54.11%
step 3750: train loss 0.7398, val loss 1.6050
iter 3750: loss 0.9065, time 1715.49ms, mfu 48.72%
iter 3760: loss 0.9308, time 6.78ms, mfu 49.35%
iter 3770: loss 0.9288, time 6.86ms, mfu 49.85%
iter 3780: loss 0.9163, time 6.83ms, mfu 50.32%
iter 3790: loss 0.8945, time 6.79ms, mfu 50.77%
iter 3800: loss 0.9108, time 6.82ms, mfu 51.16%
iter 3810: loss 0.9210, time 6.82ms, mfu 51.51%
iter 3820: loss 0.8906, time 6.84ms, mfu 51.81%
iter 3830: loss 0.8984, time 6.85ms, mfu 52.07%
iter 3840: loss 0.8832, time 7.04ms, mfu 52.15%
iter 3850: loss 0.8866, time 6.86ms, mfu 52.37%
iter 3860: loss 0.8700, time 6.87ms, mfu 52.55%
iter 3870: loss 0.8845, time 6.89ms, mfu 52.71%
